product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
4083512b-3265-5f34-8cb1-5e863ae99432,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVSSP8PNUTK2E,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
5df8e725-c8af-526a-b8cb-6c835634054b,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPN4CUY6QZXD,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
45b3454e-36f8-5097-8faa-824e5bfa2646,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPMUAHEJX8EW,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
bc2f0804-b340-5087-903d-7edf587a630d,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZHY7TMNUG6S,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),77.0
d27591d7-1900-5ef9-804f-7600dc1e3aa1,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPFGED4SJS7A,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Multicolor),77.0
e1939623-38b9-5949-9152-a7ccd53648d3,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPMZV7RCDNVR,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),77.0
5530d38e-cdbf-57d2-bab9-fb4ad65c31b9,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT46SYT5GTB,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Purple),81.0
d10b1dbb-f01d-5666-8e5f-653d9fcd5ffc,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZHEKGQ2F67Q,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),79.0
98bebc31-d178-5042-b022-2b2ae7d6260b,2999.0,539.0,2.7,Unknown,Clothing and Accessories,0,CTPFW6365D8JPGY5,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie Pin Set  (Pink),82.0
9a04f727-7f25-505b-a9be-1f605d065917,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZT9ZYJB4WJZ,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),81.0
79e355a0-69e2-5481-a078-56a60573e62a,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVSTDBD7ZUHSB,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
86f66563-86d8-51c8-a7fc-e03870c7c8e1,1539.0,349.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPHMVR9VQP2B,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Pink),77.0
56a2d969-520e-52e7-af07-ff675b5af8ac,3019.0,699.0,2.7,Unknown,Clothing and Accessories,0,CTPFVTZ9GYNEDU54,NextEdgeRetails,Clothing Accessories,"nu-Lite Satin Tie & Cufflink  (Red, Blue)",76.0
fd7617e1-f551-5d7b-a40e-148b7835de1a,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTZNFBGXUMD,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
59585ea9-ce06-5ad6-8567-21499fd3ac1c,3019.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVUFZKYWWSW7M,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Yellow),80.0
